id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,1607.229736,16748.906250,1,inf
2,1753.277222,13508.773438,1,0.530924
3,2241.725098,13213.158203,1,0.341904
4,2281.505127,11146.587891,1,0.332804
5,3352.904785,10756.715820,1,0.238325
6,3503.351562,9662.977539,1,0.188357
7,4464.000000,9032.000000,1,0.159602
8,2393.505127,11007.923828,1,0.125650
9,2048.403320,13227.562500,1,0.116352
10,4757.000000,9032.000000,1,0.114666
11,4242.000000,9032.000000,1,0.095451
12,3212.270264,10805.979492,1,0.092662
13,2818.505127,10897.035156,1,0.082021
14,3916.000000,9343.599609,1,0.073570
15,1868.263550,13276.084961,1,0.073329
16,2605.505127,10900.698242,1,0.073108
17,3691.225586,9586.548828,1,0.072997
18,2596.197510,10929.550781,1,0.072972
19,3990.000000,9206.599609,1,0.070707
20,3503.351562,9662.977539,1,0.068128
21,3816.505371,9406.010742,1,0.063389
22,3704.000000,9579.523438,1,0.062220
23,1892.596924,13276.084961,1,0.062114
24,2949.505127,10865.035156,1,0.059794
25,3099.197510,10865.035156,1,0.058500
26,4156.000000,9032.000000,1,0.057376
27,3048.197510,10865.035156,1,0.046391
28,2861.270264,10879.420898,1,0.044745
29,4096.000000,9125.599609,1,0.044050
