id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,993.946777,13073.656250,1,inf
2,1320.833130,12036.193359,1,0.388401
3,2125.692383,9719.722656,1,0.335505
4,2414.000000,9427.000000,1,0.281372
5,2073.585693,10424.708984,1,0.199835
6,2061.816406,10821.277344,1,0.175837
7,1629.560669,11832.253906,1,0.165746
8,2891.000000,9388.000000,1,0.156836
9,3403.000000,9087.200195,1,0.150056
10,1705.460693,11347.412109,1,0.145856
11,1652.638916,11527.259766,1,0.139727
12,1817.539551,11111.318359,1,0.136490
13,1826.765137,10923.440430,1,0.135376
14,1498.671875,12035.097656,1,0.130856
15,3734.000000,9067.722656,1,0.101432
16,2072.000000,10470.876953,1,0.101185
17,4156.000000,9032.000000,1,0.088608
18,3235.000000,9149.000000,1,0.084952
19,4561.000000,9032.000000,1,0.082551
20,3064.000000,9352.000000,1,0.074586
21,4742.000000,9032.000000,1,0.071093
22,3912.000000,9042.799805,1,0.070119
23,3106.000000,9220.000000,1,0.068846
24,4425.000000,9032.000000,1,0.058853
25,2945.000000,9352.000000,1,0.053959
26,3145.000000,9159.000000,1,0.051160
27,3774.000000,9067.722656,1,0.048614
28,4335.000000,9032.000000,1,0.047656
29,4242.000000,9032.000000,1,0.046614
